t	y
1.000	3.000000
1.001	3.008998
1.002	3.017990
1.003	3.026978
1.004	3.035960
1.005	3.044938
1.006	3.053910
1.007	3.062878
1.008	3.071840
1.009	3.080798
1.010	3.089751
1.011	3.098699
1.012	3.107641
1.013	3.116579
1.014	3.125512
1.015	3.134440
1.016	3.143363
1.017	3.152282
1.018	3.161195
1.019	3.170103
1.020	3.179007
1.021	3.187905
1.022	3.196799
1.023	3.205688
1.024	3.214571
1.025	3.223450
1.026	3.232325
1.027	3.241194
1.028	3.250058
1.029	3.258918
1.030	3.267772
1.031	3.276622
1.032	3.285467
1.033	3.294307
1.034	3.303142
1.035	3.311973
1.036	3.320799
1.037	3.329619
1.038	3.338435
1.039	3.347246
1.040	3.356053
1.041	3.364854
1.042	3.373651
1.043	3.382443
1.044	3.391230
1.045	3.400013
1.046	3.408790
1.047	3.417563
1.048	3.426331
1.049	3.435094
1.050	3.443853
1.051	3.452607
1.052	3.461356
1.053	3.470100
1.054	3.478839
1.055	3.487574
1.056	3.496304
1.057	3.505030
1.058	3.513750
1.059	3.522466
1.060	3.531177
1.061	3.539884
1.062	3.548586
1.063	3.557283
1.064	3.565975
1.065	3.574663
1.066	3.583346
1.067	3.592024
1.068	3.600698
1.069	3.609367
1.070	3.618031
1.071	3.626691
1.072	3.635346
1.073	3.643996
1.074	3.652642
1.075	3.661283
1.076	3.669919
1.077	3.678551
1.078	3.687178
1.079	3.695800
1.080	3.704418
1.081	3.713032
1.082	3.721640
1.083	3.730244
1.084	3.738844
1.085	3.747439
1.086	3.756029
1.087	3.764615
1.088	3.773196
1.089	3.781772
1.090	3.790344
1.091	3.798911
1.092	3.807474
1.093	3.816032
1.094	3.824586
1.095	3.833135
1.096	3.841680
1.097	3.850220
1.098	3.858755
1.099	3.867286
1.100	3.875813
1.101	3.884335
1.102	3.892852
1.103	3.901365
1.104	3.909874
1.105	3.918377
1.106	3.926877
1.107	3.935372
1.108	3.943862
1.109	3.952348
1.110	3.960829
1.111	3.969306
1.112	3.977779
1.113	3.986247
1.114	3.994710
1.115	4.003169
1.116	4.011624
1.117	4.020074
1.118	4.028520
1.119	4.036961
1.120	4.045398
1.121	4.053830
1.122	4.062258
1.123	4.070682
1.124	4.079101
1.125	4.087515
1.126	4.095926
1.127	4.104332
1.128	4.112733
1.129	4.121130
1.130	4.129523
1.131	4.137911
1.132	4.146295
1.133	4.154675
1.134	4.163050
1.135	4.171420
1.136	4.179787
1.137	4.188149
1.138	4.196507
1.139	4.204860
1.140	4.213209
1.141	4.221553
1.142	4.229894
1.143	4.238230
1.144	4.246561
1.145	4.254889
1.146	4.263211
1.147	4.271530
1.148	4.279844
1.149	4.288154
1.150	4.296460
1.151	4.304762
1.152	4.313059
1.153	4.321351
1.154	4.329640
1.155	4.337924
1.156	4.346204
1.157	4.354480
1.158	4.362751
1.159	4.371018
1.160	4.379281
1.161	4.387540
1.162	4.395794
1.163	4.404044
1.164	4.412290
1.165	4.420531
1.166	4.428769
1.167	4.437002
1.168	4.445231
1.169	4.453455
1.170	4.461676
1.171	4.469892
1.172	4.478104
1.173	4.486312
1.174	4.494516
1.175	4.502715
1.176	4.510910
1.177	4.519101
1.178	4.527288
1.179	4.535471
1.180	4.543649
1.181	4.551823
1.182	4.559993
1.183	4.568159
1.184	4.576321
1.185	4.584479
1.186	4.592632
1.187	4.600781
1.188	4.608926
1.189	4.617067
1.190	4.625204
1.191	4.633337
1.192	4.641466
1.193	4.649590
1.194	4.657710
1.195	4.665827
1.196	4.673939
1.197	4.682047
1.198	4.690151
1.199	4.698251
1.200	4.706346
1.201	4.714438
1.202	4.722525
1.203	4.730609
1.204	4.738688
1.205	4.746763
1.206	4.754835
1.207	4.762902
1.208	4.770965
