Frequency	Magnitude	Phase
0.100000	0.000434	-0.572996
0.104762	0.000477	-0.600284
0.109750	0.000523	-0.628871
0.114976	0.000574	-0.658820
0.120450	0.000630	-0.690196
0.126186	0.000691	-0.723067
0.132194	0.000759	-0.757505
0.138489	0.000833	-0.793583
0.145083	0.000914	-0.831380
0.151991	0.001003	-0.870979
0.159228	0.001101	-0.912465
0.166810	0.001208	-0.955929
0.174753	0.001326	-1.001464
0.183074	0.001455	-1.049170
0.191791	0.001597	-1.099151
0.200923	0.001753	-1.151516
0.210490	0.001924	-1.206378
0.220513	0.002111	-1.263856
0.231013	0.002317	-1.324078
0.242013	0.002543	-1.387173
0.253536	0.002791	-1.453279
0.265609	0.003063	-1.522542
0.278256	0.003361	-1.595112
0.291505	0.003689	-1.671149
0.305386	0.004048	-1.750818
0.319927	0.004443	-1.834296
0.335160	0.004876	-1.921765
0.351119	0.005351	-2.013419
0.367838	0.005872	-2.109458
0.385353	0.006444	-2.210096
0.403702	0.007072	-2.315555
0.422924	0.007761	-2.426069
0.443062	0.008517	-2.541883
0.464159	0.009346	-2.663257
0.486260	0.010257	-2.790460
0.509414	0.011255	-2.923779
0.533670	0.012351	-3.063514
0.559081	0.013554	-3.209980
0.585702	0.014873	-3.363508
0.613591	0.016320	-3.524450
0.642807	0.017908	-3.693173
0.673415	0.019650	-3.870065
0.705480	0.021561	-4.055536
0.739072	0.023657	-4.250017
0.774264	0.025957	-4.453965
0.811131	0.028479	-4.667862
0.849753	0.031245	-4.892216
0.890215	0.034279	-5.127568
0.932603	0.037607	-5.374487
0.977010	0.041255	-5.633579
1.023531	0.045256	-5.905486
1.072267	0.049642	-6.190891
1.123324	0.054450	-6.490519
1.176812	0.059721	-6.805144
1.232847	0.065497	-7.135589
1.291550	0.071827	-7.482735
1.353048	0.078762	-7.847523
1.417474	0.086360	-8.230962
1.484968	0.094680	-8.634134
1.555676	0.103792	-9.058203
1.629751	0.113766	-9.504422
1.707353	0.124681	-9.974145
1.788650	0.136624	-10.468833
1.873817	0.149685	-10.990072
1.963041	0.163964	-11.539585
2.056512	0.179567	-12.119246
2.154435	0.196609	-12.731103
2.257020	0.215211	-13.377393
2.364489	0.235502	-14.060572
2.477076	0.257620	-14.783338
2.595024	0.281708	-15.548667
2.718588	0.307915	-16.359846
2.848036	0.336394	-17.220515
2.983647	0.367302	-18.134716
3.125716	0.400792	-19.106948
3.274549	0.437015	-20.142227
3.430469	0.476107	-21.246159
3.593814	0.518189	-22.425019
3.764936	0.563349	-23.685839
3.944206	0.611633	-25.036512
4.132012	0.663026	-26.485893
4.328761	0.717424	-28.043920
4.534879	0.774608	-29.721727
4.750810	0.834200	-31.531759
4.977024	0.895616	-33.487865
5.214008	0.957994	-35.605355
5.462277	1.020120	-37.900995
5.722368	1.080325	-40.392886
5.994843	1.136370	-43.100188
6.280291	1.185315	-46.042579
6.579332	1.223375	-49.239390
6.892612	1.245793	-52.708278
7.220809	1.246736	-56.463365
7.564633	1.219276	-60.512804
7.924829	1.155493	-64.855861
8.302176	1.046770	-69.479830
8.697490	0.884304	-74.357329
9.111628	0.659848	-79.444785
9.545485	0.366586	-84.682953
10.000000	0.000000	-90.000000
