Frequency	Magnitude	Phase
0.100000	-0.015667	4.771558
0.104762	-0.017192	4.998444
0.109750	-0.018867	5.236086
0.114976	-0.020703	5.484990
0.120450	-0.022719	5.745683
0.126186	-0.024930	6.018718
0.132194	-0.027357	6.304671
0.138489	-0.030019	6.604146
0.145083	-0.032939	6.917772
0.151991	-0.036143	7.246208
0.159228	-0.039658	7.590138
0.166810	-0.043513	7.950281
0.174753	-0.047742	8.327384
0.183074	-0.052381	8.722226
0.191791	-0.057469	9.135619
0.200923	-0.063049	9.568411
0.210490	-0.069168	10.021482
0.220513	-0.075878	10.495750
0.231013	-0.083236	10.992168
0.242013	-0.091302	11.511728
0.253536	-0.100145	12.055458
0.265609	-0.109839	12.624426
0.278256	-0.120464	13.219737
0.291505	-0.132107	13.842537
0.305386	-0.144865	14.494008
0.319927	-0.158842	15.175374
0.335160	-0.174153	15.887894
0.351119	-0.190920	16.632864
0.367838	-0.209281	17.411616
0.385353	-0.229380	18.225515
0.403702	-0.251378	19.075959
0.422924	-0.275448	19.964371
0.443062	-0.301778	20.892200
0.464159	-0.330570	21.860915
0.486260	-0.362045	22.872000
0.509414	-0.396440	23.926947
0.533670	-0.434011	25.027249
0.559081	-0.475034	26.174393
0.585702	-0.519806	27.369850
0.613591	-0.568643	28.615065
0.642807	-0.621886	29.911442
0.673415	-0.679898	31.260336
0.705480	-0.743068	32.663033
0.739072	-0.811805	34.120738
0.774264	-0.886545	35.634557
0.811131	-0.967750	37.205476
0.849753	-1.055902	38.834344
0.890215	-1.151509	40.521850
0.932603	-1.255102	42.268504
0.977010	-1.367231	44.074614
1.023531	-1.488468	45.940262
1.072267	-1.619399	47.865283
1.123324	-1.760625	49.849245
1.176812	-1.912758	51.891430
1.232847	-2.076417	53.990809
1.291550	-2.252221	56.146035
1.353048	-2.440791	58.355423
1.417474	-2.642736	60.616946
1.484968	-2.858654	62.928223
1.555676	-3.089122	65.286527
1.629751	-3.334693	67.688778
1.707353	-3.595890	70.131565
1.788650	-3.873195	72.611149
1.873817	-4.167050	75.123493
1.963041	-4.477847	77.664279
2.056512	-4.805924	80.228948
2.154435	-5.151561	82.812726
2.257020	-5.514976	85.410672
2.364489	-5.896322	88.017712
2.477076	-6.295686	90.628693
2.595024	-6.713085	93.238423
2.718588	-7.148468	95.841723
2.848036	-7.601718	98.433473
2.983647	-8.072648	101.008658
3.125716	-8.561012	103.562411
3.274549	-9.066499	106.090056
3.430469	-9.588746	108.587148
3.593814	-10.127336	111.049500
3.764936	-10.681806	113.473215
3.944206	-11.251655	115.854711
4.132012	-11.836345	118.190734
4.328761	-12.435310	120.478373
4.534879	-13.047961	122.715067
4.750810	-13.673696	124.898608
4.977024	-14.311898	127.027132
5.214008	-14.961947	129.099119
5.462277	-15.623224	131.113378
5.722368	-16.295111	133.069031
5.994843	-16.977004	134.965500
6.280291	-17.668305	136.802484
6.579332	-18.368437	138.579940
6.892612	-19.076838	140.298063
7.220809	-19.792966	141.957259
7.564633	-20.516302	143.558127
7.924829	-21.246350	145.101436
8.302176	-21.982637	146.588105
8.697490	-22.724714	148.019179
9.111628	-23.472159	149.395813
9.545485	-24.224570	150.719254
10.000000	-24.981573	151.990823
